ID do Produto,Nome do Produto,Categoria,Quantidade em Estoque,Data de Entrada,Fornecedor,Localização no Estoque,Data de Venda,Quantidade Vendida
1,Colheitadeira my,Colheitadeira,6,2024-05-08,Young LLC,Galpao 10,2022-10-21,10
1,Colheitadeira my,Colheitadeira,16,2024-04-05,Young LLC,Galpao 10,2023-11-27,7
1,Colheitadeira my,Colheitadeira,44,2024-04-03,Young LLC,Galpao 10,2023-04-17,9
1,Colheitadeira my,Colheitadeira,14,2024-01-06,Young LLC,Galpao 10,2022-05-21,7
1,Colheitadeira my,Colheitadeira,9,2024-02-09,Young LLC,Galpao 10,2023-05-27,9
2,Trator artist,Trator,1,2024-05-27,Morgan Group,Galpao 3,2022-04-07,6
2,Trator artist,Trator,11,2024-01-05,Morgan Group,Galpao 3,2022-10-02,4
2,Trator artist,Trator,24,2024-06-18,Morgan Group,Galpao 3,2022-05-22,2
2,Trator artist,Trator,43,2024-07-01,Morgan Group,Galpao 3,2022-04-18,3
2,Trator artist,Trator,2,2024-03-15,Morgan Group,Galpao 3,2022-10-23,10
3,Plantadeira trip,Pulverizador,33,2024-06-15,Johnson and Sons,Galpao 10,2023-09-29,8
3,Plantadeira trip,Pulverizador,10,2024-03-20,Johnson and Sons,Galpao 10,2022-09-03,2
3,Plantadeira trip,Pulverizador,31,2024-05-12,Johnson and Sons,Galpao 10,2022-11-01,10
3,Plantadeira trip,Pulverizador,45,2024-05-27,Johnson and Sons,Galpao 10,2022-12-17,7
3,Plantadeira trip,Pulverizador,30,2024-02-15,Johnson and Sons,Galpao 10,2023-08-22,3
4,Plantadeira our,Empilhadeira,17,2024-01-29,Johnson LLC,Galpao 10,2022-07-17,8
4,Plantadeira our,Empilhadeira,47,2024-02-03,Johnson LLC,Galpao 10,2023-04-11,2
4,Plantadeira our,Empilhadeira,19,2024-03-04,Johnson LLC,Galpao 10,2022-04-10,4
4,Plantadeira our,Empilhadeira,29,2024-01-27,Johnson LLC,Galpao 10,2023-10-21,10
4,Plantadeira our,Empilhadeira,18,2024-02-15,Johnson LLC,Galpao 10,2023-03-01,6
5,Trator strategy,Colheitadeira,6,2024-02-29,HancockDuke,Galpao 8,2023-10-26,4
5,Trator strategy,Colheitadeira,6,2024-05-13,HancockDuke,Galpao 8,2022-05-13,3
5,Trator strategy,Colheitadeira,6,2024-03-02,HancockDuke,Galpao 8,2022-08-26,5
5,Trator strategy,Colheitadeira,38,2024-03-07,HancockDuke,Galpao 8,2022-08-30,3
5,Trator strategy,Colheitadeira,9,2024-06-30,HancockDuke,Galpao 8,2022-02-24,10
6,Colheitadeira could,Plantadeira,28,2024-06-14,Leonard Group,Galpao 2,2022-09-27,6
6,Colheitadeira could,Plantadeira,37,2024-06-05,Leonard Group,Galpao 2,2022-10-11,5
6,Colheitadeira could,Plantadeira,18,2024-04-14,Leonard Group,Galpao 2,2023-12-09,6
6,Colheitadeira could,Plantadeira,50,2024-05-23,Leonard Group,Galpao 2,2023-06-14,5
6,Colheitadeira could,Plantadeira,3,2024-03-05,Leonard Group,Galpao 2,2023-08-17,5
7,Pulverizador ten,Colheitadeira,27,2024-01-09,Kerr Marshall and Stevens,Galpao 4,2022-09-18,6
7,Pulverizador ten,Colheitadeira,23,2024-01-19,Kerr Marshall and Stevens,Galpao 4,2023-05-30,7
7,Pulverizador ten,Colheitadeira,50,2024-02-10,Kerr Marshall and Stevens,Galpao 4,2023-10-11,5
7,Pulverizador ten,Colheitadeira,15,2024-06-16,Kerr Marshall and Stevens,Galpao 4,2023-02-13,2
7,Pulverizador ten,Colheitadeira,36,2024-05-06,Kerr Marshall and Stevens,Galpao 4,2023-07-29,4
8,Colheitadeira expert,Empilhadeira,39,2024-05-18,Green Houston and Cole,Galpao 8,2022-01-20,5
8,Colheitadeira expert,Empilhadeira,5,2024-05-28,Green Houston and Cole,Galpao 8,2022-11-12,6
8,Colheitadeira expert,Empilhadeira,35,2024-03-21,Green Houston and Cole,Galpao 8,2022-01-22,9
8,Colheitadeira expert,Empilhadeira,9,2024-01-07,Green Houston and Cole,Galpao 8,2023-04-02,10
8,Colheitadeira expert,Empilhadeira,48,2024-04-20,Green Houston and Cole,Galpao 8,2022-09-18,2
9,Empilhadeira if,Empilhadeira,5,2024-07-01,Brewer and Sons,Galpao 4,2022-05-21,4
9,Empilhadeira if,Empilhadeira,48,2024-02-17,Brewer and Sons,Galpao 4,2023-08-19,5
9,Empilhadeira if,Empilhadeira,47,2024-06-18,Brewer and Sons,Galpao 4,2023-02-21,4
9,Empilhadeira if,Empilhadeira,24,2024-05-09,Brewer and Sons,Galpao 4,2023-03-22,1
9,Empilhadeira if,Empilhadeira,15,2024-05-20,Brewer and Sons,Galpao 4,2022-06-05,6
10,Empilhadeira leader,Colheitadeira,45,2024-01-26,Diaz Nunez and Rodriguez,Galpao 9,2023-06-15,7
10,Empilhadeira leader,Colheitadeira,32,2024-07-04,Diaz Nunez and Rodriguez,Galpao 9,2022-12-05,4
10,Empilhadeira leader,Colheitadeira,6,2024-04-25,Diaz Nunez and Rodriguez,Galpao 9,2022-10-19,1
10,Empilhadeira leader,Colheitadeira,42,2024-01-27,Diaz Nunez and Rodriguez,Galpao 9,2023-08-16,4
10,Empilhadeira leader,Colheitadeira,11,2024-06-04,Diaz Nunez and Rodriguez,Galpao 9,2022-07-28,4
11,Empilhadeira one,Empilhadeira,20,2024-03-17,Dunlap Ltd,Galpao 7,2023-04-24,8
11,Empilhadeira one,Empilhadeira,12,2024-03-29,Dunlap Ltd,Galpao 7,2023-05-10,7
11,Empilhadeira one,Empilhadeira,36,2024-06-30,Dunlap Ltd,Galpao 7,2022-06-05,2
11,Empilhadeira one,Empilhadeira,26,2024-03-23,Dunlap Ltd,Galpao 7,2023-12-02,9
11,Empilhadeira one,Empilhadeira,34,2024-05-30,Dunlap Ltd,Galpao 7,2023-02-05,6
12,Pulverizador movement,Plantadeira,48,2024-02-06,Harper Robles and Juarez,Galpao 1,2023-10-03,4
12,Pulverizador movement,Plantadeira,42,2024-02-28,Harper Robles and Juarez,Galpao 1,2022-01-27,3
12,Pulverizador movement,Plantadeira,40,2024-05-28,Harper Robles and Juarez,Galpao 1,2022-07-10,9
12,Pulverizador movement,Plantadeira,22,2024-06-14,Harper Robles and Juarez,Galpao 1,2022-01-29,3
12,Pulverizador movement,Plantadeira,46,2024-01-20,Harper Robles and Juarez,Galpao 1,2022-09-11,8
13,Colheitadeira carry,Trator,32,2024-03-05,Fuller Hernandez and Warner,Galpao 9,2023-03-18,4
13,Colheitadeira carry,Trator,32,2024-03-13,Fuller Hernandez and Warner,Galpao 9,2022-11-21,10
13,Colheitadeira carry,Trator,35,2024-07-01,Fuller Hernandez and Warner,Galpao 9,2023-01-11,8
13,Colheitadeira carry,Trator,24,2024-03-03,Fuller Hernandez and Warner,Galpao 9,2022-04-15,9
13,Colheitadeira carry,Trator,9,2024-03-18,Fuller Hernandez and Warner,Galpao 9,2022-08-15,7
14,Plantadeira exist,Empilhadeira,6,2024-03-30,Santana Mccoy and Brown,Galpao 3,2023-10-20,9
14,Plantadeira exist,Empilhadeira,11,2024-01-10,Santana Mccoy and Brown,Galpao 3,2022-03-07,10
14,Plantadeira exist,Empilhadeira,22,2024-05-06,Santana Mccoy and Brown,Galpao 3,2023-08-09,8
14,Plantadeira exist,Empilhadeira,37,2024-07-01,Santana Mccoy and Brown,Galpao 3,2022-12-20,7
14,Plantadeira exist,Empilhadeira,5,2024-05-13,Santana Mccoy and Brown,Galpao 3,2023-03-31,5
15,Pulverizador still,Colheitadeira,33,2024-06-28,PattersonSantos,Galpao 8,2023-07-25,6
15,Pulverizador still,Colheitadeira,41,2024-04-26,PattersonSantos,Galpao 8,2023-02-14,8
15,Pulverizador still,Colheitadeira,10,2024-02-22,PattersonSantos,Galpao 8,2023-04-07,3
15,Pulverizador still,Colheitadeira,5,2024-04-18,PattersonSantos,Galpao 8,2023-08-31,6
15,Pulverizador still,Colheitadeira,17,2024-03-29,PattersonSantos,Galpao 8,2022-10-30,2
16,Colheitadeira under,Pulverizador,30,2024-02-22,Mills Gutierrez and Jones,Galpao 1,2023-11-30,7
16,Colheitadeira under,Pulverizador,46,2024-01-19,Mills Gutierrez and Jones,Galpao 1,2023-07-02,7
16,Colheitadeira under,Pulverizador,41,2024-04-15,Mills Gutierrez and Jones,Galpao 1,2023-07-15,5
16,Colheitadeira under,Pulverizador,24,2024-05-13,Mills Gutierrez and Jones,Galpao 1,2022-01-04,2
16,Colheitadeira under,Pulverizador,6,2024-04-12,Mills Gutierrez and Jones,Galpao 1,2022-12-17,7
17,Pulverizador him,Empilhadeira,38,2024-07-04,Knight LLC,Galpao 4,2023-05-13,1
17,Pulverizador him,Empilhadeira,3,2024-04-15,Knight LLC,Galpao 4,2022-04-18,3
17,Pulverizador him,Empilhadeira,34,2024-03-16,Knight LLC,Galpao 4,2022-08-17,9
17,Pulverizador him,Empilhadeira,36,2024-07-05,Knight LLC,Galpao 4,2022-05-02,7
17,Pulverizador him,Empilhadeira,44,2024-05-27,Knight LLC,Galpao 4,2022-01-06,10
18,Empilhadeira its,Pulverizador,40,2024-01-01,Alexander Inc,Galpao 3,2023-11-20,1
18,Empilhadeira its,Pulverizador,30,2024-04-30,Alexander Inc,Galpao 3,2022-09-02,9
18,Empilhadeira its,Pulverizador,18,2024-06-04,Alexander Inc,Galpao 3,2022-11-09,7
18,Empilhadeira its,Pulverizador,38,2024-02-25,Alexander Inc,Galpao 3,2023-08-25,8
18,Empilhadeira its,Pulverizador,34,2024-02-14,Alexander Inc,Galpao 3,2022-03-05,10
19,Plantadeira brother,Plantadeira,15,2024-01-13,Molina Group,Galpao 5,2023-01-11,8
19,Plantadeira brother,Plantadeira,4,2024-01-25,Molina Group,Galpao 5,2022-01-14,6
19,Plantadeira brother,Plantadeira,32,2024-01-18,Molina Group,Galpao 5,2022-06-08,2
19,Plantadeira brother,Plantadeira,9,2024-06-19,Molina Group,Galpao 5,2022-06-07,5
19,Plantadeira brother,Plantadeira,38,2024-05-02,Molina Group,Galpao 5,2022-01-07,5
20,Colheitadeira leave,Plantadeira,34,2024-04-01,Freeman Ltd,Galpao 6,2022-02-16,2
20,Colheitadeira leave,Plantadeira,10,2024-05-18,Freeman Ltd,Galpao 6,2023-05-08,4
20,Colheitadeira leave,Plantadeira,32,2024-06-15,Freeman Ltd,Galpao 6,2023-09-07,1
20,Colheitadeira leave,Plantadeira,3,2024-05-08,Freeman Ltd,Galpao 6,2023-03-26,4
20,Colheitadeira leave,Plantadeira,31,2024-06-28,Freeman Ltd,Galpao 6,2022-10-29,8
21,Trator world,Colheitadeira,46,2024-04-18,Myers LLC,Galpao 7,2023-12-18,3
21,Trator world,Colheitadeira,42,2024-05-28,Myers LLC,Galpao 7,2022-03-06,9
21,Trator world,Colheitadeira,45,2024-01-02,Myers LLC,Galpao 7,2022-12-23,4
21,Trator world,Colheitadeira,26,2024-01-28,Myers LLC,Galpao 7,2023-02-09,4
21,Trator world,Colheitadeira,11,2024-01-30,Myers LLC,Galpao 7,2022-06-08,7
22,Plantadeira from,Pulverizador,47,2024-04-18,Freeman and Sons,Galpao 5,2023-03-19,4
22,Plantadeira from,Pulverizador,7,2024-04-17,Freeman and Sons,Galpao 5,2022-07-18,2
22,Plantadeira from,Pulverizador,27,2024-01-28,Freeman and Sons,Galpao 5,2022-11-25,9
22,Plantadeira from,Pulverizador,35,2024-02-26,Freeman and Sons,Galpao 5,2022-04-16,6
22,Plantadeira from,Pulverizador,34,2024-06-08,Freeman and Sons,Galpao 5,2022-02-23,7
23,Colheitadeira cold,Plantadeira,3,2024-06-18,Patterson LLC,Galpao 6,2023-04-18,4
23,Colheitadeira cold,Plantadeira,46,2024-02-03,Patterson LLC,Galpao 6,2022-04-18,2
23,Colheitadeira cold,Plantadeira,7,2024-04-20,Patterson LLC,Galpao 6,2022-02-04,2
23,Colheitadeira cold,Plantadeira,2,2024-02-10,Patterson LLC,Galpao 6,2022-11-23,10
23,Colheitadeira cold,Plantadeira,37,2024-05-09,Patterson LLC,Galpao 6,2023-12-25,7
24,Trator child,Empilhadeira,38,2024-01-22,Wells Inc,Galpao 9,2022-10-27,2
24,Trator child,Empilhadeira,4,2024-03-01,Wells Inc,Galpao 9,2022-03-27,7
24,Trator child,Empilhadeira,20,2024-02-03,Wells Inc,Galpao 9,2023-11-09,2
24,Trator child,Empilhadeira,49,2024-05-30,Wells Inc,Galpao 9,2022-10-31,8
24,Trator child,Empilhadeira,26,2024-07-06,Wells Inc,Galpao 9,2022-07-28,5
25,Colheitadeira very,Trator,36,2024-03-03,Sanchez Gardner and Hughes,Galpao 8,2023-01-19,9
25,Colheitadeira very,Trator,40,2024-01-10,Sanchez Gardner and Hughes,Galpao 8,2022-11-01,3
25,Colheitadeira very,Trator,5,2024-06-24,Sanchez Gardner and Hughes,Galpao 8,2023-04-17,2
25,Colheitadeira very,Trator,15,2024-05-04,Sanchez Gardner and Hughes,Galpao 8,2023-01-19,8
25,Colheitadeira very,Trator,38,2024-02-09,Sanchez Gardner and Hughes,Galpao 8,2023-05-31,2
